№,well,oil_start,q_start,p_start,oil_end,q_end,p_end,duration_days_oil,ppd_well,ppd_start,ppd_end,duration_days_ppd,delta_PPD,deltaQpr,CI_none,oil_well
674,624,2024-06-27,50.0,8.4,2024-07-03,50.0,10.2,7,684,2024-06-27,2024-07-21,25,-45,-45,-0.0,624
675,624,2024-07-22,49.0,10.7,2024-07-28,47.0,10.7,7,684,2024-07-22,2024-07-30,9,63,63,0.0,624
676,624,2024-07-31,48.0,10.6,2024-08-06,49.0,10.4,7,684,2024-07-31,2024-09-03,35,-34,-34,0.7,624
677,624,2024-09-04,44.0,10.7,2024-09-10,46.0,10.5,7,684,2024-09-04,2024-11-20,78,-17,-17,0.3,624
678,624,2024-11-21,48.0,7.0,2024-11-27,49.0,6.7,7,684,2024-11-21,2025-03-14,114,24,24,1.4,624
679,624,2025-03-15,50.0,2.0,2025-03-21,47.0,2.6,7,684,2025-03-15,2025-04-27,44,-47,-47,8.2,624
680,624,2023-09-09,43.0,20.4,2023-09-15,43.0,20.6,7,685,2023-09-09,2024-02-24,169,-55,-55,-0.0,624
681,624,2024-02-25,50.0,11.1,2024-03-16,51.0,10.2,21,685,2024-02-25,2024-03-16,21,-37,-37,0.0,624
682,624,2024-03-17,52.0,9.6,2024-03-23,50.0,9.2,7,685,2024-03-17,2024-04-08,23,26,26,0.0,624
683,624,2024-04-09,51.0,10.0,2024-04-15,50.0,9.5,7,685,2024-04-09,2024-04-30,22,-97,-97,0.0,624
684,624,2024-05-01,49.0,8.7,2024-05-07,49.0,9.0,7,685,2024-05-01,2024-05-15,15,59,59,0.0,624
685,624,2024-05-16,50.0,8.7,2024-05-22,49.0,8.4,7,685,2024-05-16,2024-06-09,25,1,1,0.0,624
686,624,2024-06-10,52.0,7.6,2024-06-16,50.0,7.4,7,685,2024-06-10,2024-07-24,45,-28,-28,0.0,624
687,624,2024-07-25,48.0,10.8,2024-07-31,48.0,10.6,7,685,2024-07-25,2024-12-14,143,62,62,0.0,624
688,624,2024-12-15,47.0,5.5,2024-12-21,49.0,5.1,7,685,2024-12-15,2025-01-05,22,-21,-21,0.0,624
689,624,2025-01-06,49.0,4.4,2025-01-12,50.0,4.6,7,685,2025-01-06,2025-02-07,33,-22,-22,0.0,624
690,624,2025-02-08,48.0,2.5,2025-02-14,48.0,2.0,7,685,2025-02-08,2025-02-16,9,-13,-13,0.0,624
691,624,2025-02-17,47.0,4.3,2025-02-23,45.0,7.8,7,685,2025-02-17,2025-02-23,7,71,71,0.0,624
692,624,2025-02-24,47.0,2.7,2025-03-02,43.0,2.8,7,685,2025-02-24,2025-03-08,13,40,40,0.0,624
693,624,2025-03-09,48.0,2.1,2025-03-15,50.0,2.0,7,685,2025-03-09,2025-04-22,45,-71,-71,0.0,624
694,624,2025-04-23,46.0,2.6,2025-04-29,44.0,2.6,7,685,2025-04-23,2025-05-01,9,-25,-25,0.0,624
695,712,2023-10-15,34.0,17.1,2023-10-21,34.0,17.1,7,625,2023-10-15,2023-10-22,8,131,131,0.0,712
696,712,2023-10-23,33.0,17.2,2023-10-29,34.0,17.0,7,625,2023-10-23,2023-11-16,25,-59,-59,0.0,712
697,712,2023-11-17,32.0,17.3,2023-11-23,34.0,17.2,7,625,2023-11-17,2024-07-31,258,82,82,0.0,712
698,712,2024-08-01,22.0,16.0,2024-08-07,17.0,14.0,7,625,2024-08-01,2024-11-18,110,21,21,0.0,712
699,712,2024-11-19,28.0,12.0,2024-11-25,25.0,11.0,7,625,2024-11-19,2025-03-10,112,79,79,0.0,712
700,712,2025-03-11,20.0,11.0,2025-03-17,20.0,10.0,7,625,2025-03-11,2025-04-02,23,-18,-18,0.0,712
701,712,2025-04-03,20.0,10.0,2025-04-09,21.0,9.0,7,625,2025-04-03,2025-05-01,29,-74,-74,0.0,712
702,712,2023-08-23,41.0,15.7,2023-08-29,36.0,15.9,7,682,2023-08-23,2023-10-13,52,21,21,0.9,712
703,712,2023-10-14,34.0,17.0,2023-10-20,34.0,17.0,7,682,2023-10-14,2023-10-22,9,-5,-5,-0.0,712
704,712,2023-10-23,33.0,17.2,2023-10-29,34.0,17.0,7,682,2023-10-23,2023-11-12,21,0,0,0.0,712
705,712,2023-11-13,33.0,17.2,2023-11-19,32.0,17.3,7,682,2023-11-13,2024-03-15,124,202,202,4.2,712
706,712,2024-03-16,23.0,23.8,2024-04-03,19.0,20.0,19,682,2024-03-16,2024-04-03,19,2,2,0.0,712
707,712,2024-04-04,15.0,19.0,2024-04-10,17.0,18.0,7,682,2024-04-04,2024-04-22,19,-74,-74,15.2,712
708,712,2024-04-23,13.0,22.0,2024-05-22,17.0,24.0,30,682,2024-04-23,2024-05-24,32,142,142,63.0,712
709,712,2024-05-25,14.0,25.0,2024-05-31,16.0,25.0,7,682,2024-05-25,2024-06-01,8,-151,-151,-0.0,712
710,712,2024-06-02,16.0,25.0,2024-06-08,18.0,26.0,7,682,2024-06-02,2024-06-18,17,47,47,10.4,712
711,712,2024-06-19,17.0,26.0,2024-07-02,26.0,11.0,14,682,2024-06-19,2024-07-02,14,-90,-90,277.5,712
712,712,2024-07-03,26.0,11.0,2024-07-09,26.0,12.0,7,682,2024-07-03,2024-07-24,22,-3,-3,-0.0,712
713,712,2024-07-25,32.0,13.0,2024-08-12,31.0,17.0,19,682,2024-07-25,2024-08-12,19,98,98,80.6,712
714,712,2024-08-13,31.0,17.0,2024-08-19,30.0,15.0,7,682,2024-08-13,2024-08-19,7,61,61,0.0,712
715,712,2024-08-20,32.0,15.0,2024-09-18,30.0,12.0,30,682,2024-08-20,2024-10-16,58,-73,-73,34.2,712
716,712,2024-10-17,26.0,11.0,2024-10-23,25.0,11.0,7,682,2024-10-17,2024-11-04,19,-70,-70,3.5,712
717,712,2024-11-05,26.0,12.0,2024-11-11,25.0,12.0,7,682,2024-11-05,2024-12-13,39,56,56,0.0,712
718,712,2024-12-14,26.0,10.1,2024-12-20,26.0,10.1,7,682,2024-12-14,2025-02-07,56,-48,-48,-0.0,712
719,712,2025-02-08,24.0,11.0,2025-02-14,25.0,11.0,7,682,2025-02-08,2025-05-01,83,-157,-157,-0.0,712
720,712,2023-08-16,39.0,15.7,2023-08-22,40.0,15.4,7,684,2023-08-16,2023-08-22,7,-1,-1,0.0,712
721,712,2023-08-23,41.0,15.7,2023-08-29,36.0,15.9,7,684,2023-08-23,2023-09-21,30,0,0,0.0,712
722,712,2023-09-22,38.0,16.7,2023-09-28,36.0,16.8,7,684,2023-09-22,2024-03-17,178,-134,-134,9.6,712
723,712,2024-03-18,23.0,20.0,2024-04-08,16.0,19.0,22,684,2024-03-18,2024-04-08,22,10,10,0.0,712
724,712,2024-04-09,17.0,19.0,2024-04-15,16.0,19.0,7,684,2024-04-09,2024-04-26,18,8,8,0.0,712
725,712,2024-04-27,14.0,24.0,2024-05-26,15.0,25.0,30,684,2024-04-27,2024-06-26,61,126,126,6.3,712
726,712,2024-06-27,29.0,11.0,2024-07-03,26.0,11.0,7,684,2024-06-27,2024-07-21,25,-45,-45,1.9,712
727,712,2024-07-22,30.0,11.0,2024-07-30,23.0,16.0,9,684,2024-07-22,2024-07-30,9,63,63,18.8,712
728,712,2024-07-31,21.0,16.0,2024-08-06,24.0,16.0,7,684,2024-07-31,2024-09-03,35,-34,-34,-0.0,712
729,712,2024-09-04,28.0,11.0,2024-09-10,25.0,11.0,7,684,2024-09-04,2024-11-20,78,-17,-17,0.7,712
730,712,2024-11-21,25.0,11.0,2024-11-27,26.0,11.0,7,684,2024-11-21,2025-03-14,114,24,24,0.3,712
731,712,2025-03-15,20.0,11.0,2025-03-21,20.0,10.0,7,684,2025-03-15,2025-04-27,44,-47,-47,1.7,712
732,712,2023-09-09,35.0,16.3,2023-09-15,35.0,16.5,7,685,2023-09-09,2024-02-24,169,-55,-55,-0.0,712
733,712,2024-02-25,26.0,10.0,2024-03-02,24.0,10.0,7,685,2024-02-25,2024-03-16,21,-37,-37,0.0,712
734,712,2024-03-17,24.0,20.0,2024-04-08,16.0,19.0,23,685,2024-03-17,2024-04-08,23,26,26,0.0,712
735,712,2024-04-09,17.0,19.0,2024-04-15,16.0,19.0,7,685,2024-04-09,2024-04-30,22,-97,-97,0.0,712
736,712,2024-05-01,19.0,22.0,2024-05-15,15.0,25.0,15,685,2024-05-01,2024-05-15,15,59,59,0.0,712
737,712,2024-05-16,14.0,24.0,2024-05-22,17.0,24.0,7,685,2024-05-16,2024-06-09,25,1,1,0.0,712
738,712,2024-06-10,18.0,25.0,2024-06-16,17.0,26.0,7,685,2024-06-10,2024-07-24,45,-28,-28,0.0,712
739,712,2024-07-25,32.0,13.0,2024-08-23,30.0,12.0,30,685,2024-07-25,2024-12-14,143,62,62,0.0,712
740,712,2024-12-15,26.0,10.1,2024-12-21,27.0,10.1,7,685,2024-12-15,2025-01-05,22,-21,-21,-0.0,712
741,712,2025-01-06,26.0,10.1,2025-01-12,26.0,10.1,7,685,2025-01-06,2025-02-07,33,-22,-22,-0.0,712
742,712,2025-02-08,24.0,11.0,2025-02-14,25.0,11.0,7,685,2025-02-08,2025-02-16,9,-13,-13,-0.0,712
743,712,2025-02-17,25.0,10.0,2025-02-23,24.0,11.0,7,685,2025-02-17,2025-02-23,7,71,71,0.0,712
744,712,2025-02-24,22.0,11.0,2025-03-02,23.0,12.0,7,685,2025-02-24,2025-03-08,13,40,40,0.0,712
745,712,2025-03-09,22.0,10.0,2025-03-15,20.0,11.0,7,685,2025-03-09,2025-04-22,45,-71,-71,0.0,712
746,712,2025-04-23,17.0,9.0,2025-04-29,16.0,8.0,7,685,2025-04-23,2025-05-01,9,-25,-25,0.0,712
TOTALS,exact=46,nearby=1,miss=12,all=59,accuracy=0.80
